Tags,Picture
pet;dog;big,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5661.jpg 
pet;dog;small,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5662.jpg 
pet;dog;small,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5664.jpg 
pet;cat;grey,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5663.jpg 
suv;white;acura,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5540.jpg 
car;blue;mercedes,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5534.jpg 
car;black;subaru,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5538.jpg 
car;blue;subaru,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5539.jpg 
car;yellow;camaro,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5533.jpg
food;japanese;sushi,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5668.jpg 
food;japanese;sushi,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5669.jpg 
food;japanese;dumplings,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5667.jpg 
food;japanese;poke,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5670.jpg 
dessert;mochi;ice-cream,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5666.jpg 
dessert;ice-cream;vanilla,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5673.jpg 
dessert;donuts,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5672.jpg 
dessert;cakepop;chocolate;pink,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5674.jpg 
food;chinese;rice;chicken,https://raw.githubusercontent.com/Priscilla027/MyFavoritePictrues/main/IMG-5665.jpg 
